"anon.id","experiment","coherence","exposures","passed.catch.trials"
"s0001","1b","nonce.connective",126,TRUE
"s0002","2","rime",126,TRUE
"s0003","old.vs.new","0/3",196,TRUE
"s0004","2","rime",392,TRUE
"s0005","1b","nonce.connective",56,TRUE
"s0006","2","rime",56,TRUE
"s0007","1b","nonce.connective",392,TRUE
"s0008","1a","2/3",196,TRUE
"s0009","2","rime",196,TRUE
"s0010","1a","0/3",196,TRUE
"s0011","1a","2/3",196,TRUE
"s0012","3","semantic.baseline",196,TRUE
"s0013","2","rime",126,TRUE
"s0014","1a","3/3",56,TRUE
"s0015","1a","0/3",196,TRUE
"s0016","1b","nonce.connective",126,TRUE
"s0017","1a","2/3",196,TRUE
"s0018","1a","1/3",56,TRUE
"s0019","1b","nonce.connective",56,TRUE
"s0020","2","rime",392,TRUE
"s0021","1a","3/3",56,TRUE
"s0022","1a","1/3",392,TRUE
"s0023","2","rime",196,TRUE
"s0024","1a","0/3",126,TRUE
"s0025","3","semantic.baseline",126,TRUE
"s0026","2","syllables",392,TRUE
"s0027","1a","1/3",56,FALSE
"s0028","1a","2/3",126,TRUE
"s0029","1b","nonce.connective",196,TRUE
"s0030","1a","1/3",56,FALSE
"s0031","2","syllables",126,TRUE
"s0032","1a","0/3",392,TRUE
"s0033","1b","nonce.connective",126,TRUE
"s0034","3","semantic.baseline",392,FALSE
"s0035","1b","nonce.connective",126,TRUE
"s0036","1b","nonce.connective",392,TRUE
"s0037","2","syllables",126,TRUE
"s0038","2","onset",196,TRUE
"s0039","2","syllables",126,FALSE
"s0040","2","onset",392,TRUE
"s0041","1b","nonce.connective",392,TRUE
"s0042","1b","nonce.connective",196,TRUE
"s0043","2","rime",392,FALSE
"s0044","1a","3/3",56,TRUE
"s0045","1a","0/3",196,TRUE
"s0046","1a","0/3",392,TRUE
"s0047","old.vs.new","3/3",56,FALSE
"s0048","old.vs.new","3/3",196,FALSE
"s0049","1b","nonce.connective",392,FALSE
"s0050","2","rime",196,TRUE
"s0051","3","semantic.baseline",392,TRUE
"s0052","1b","nonce.connective",392,TRUE
"s0053","2","rime",196,TRUE
"s0054","2","rime",126,TRUE
"s0055","1a","0/3",126,TRUE
"s0056","2","rime",126,TRUE
"s0057","3","semantic.baseline",126,FALSE
"s0058","1a","0/3",392,TRUE
"s0059","2","onset",196,TRUE
"s0060","1a","3/3",392,TRUE
"s0061","old.vs.new","0/3",56,TRUE
"s0062","3","semantic.baseline",392,TRUE
"s0063","1a","2/3",56,TRUE
"s0064","1a","2/3",126,TRUE
"s0065","2","rime",56,TRUE
"s0066","3","semantic.baseline",56,TRUE
"s0067","2","rime",392,FALSE
"s0068","old.vs.new","0/3",56,TRUE
"s0069","2","rime",126,TRUE
"s0070","3","semantic.baseline",56,TRUE
"s0071","1a","3/3",392,TRUE
"s0072","2","rime",392,TRUE
"s0073","2","onset",56,TRUE
"s0074","1a","3/3",392,TRUE
"s0075","1a","2/3",196,TRUE
"s0076","1a","1/3",392,TRUE
"s0077","1a","3/3",392,TRUE
"s0078","old.vs.new","3/3",56,TRUE
"s0079","1a","3/3",196,TRUE
"s0080","1a","1/3",56,TRUE
"s0081","old.vs.new","3/3",196,TRUE
"s0082","3","semantic.baseline",56,TRUE
"s0083","2","rime",56,TRUE
"s0084","old.vs.new","3/3",196,TRUE
"s0085","1a","1/3",126,TRUE
"s0086","1a","0/3",56,TRUE
"s0087","2","rime",56,TRUE
"s0088","1a","3/3",196,TRUE
"s0089","1a","3/3",392,TRUE
"s0090","old.vs.new","3/3",56,TRUE
"s0091","1a","3/3",126,TRUE
"s0092","2","rime",392,TRUE
"s0093","1a","1/3",392,TRUE
"s0094","2","syllables",56,TRUE
"s0095","3","semantic.baseline",56,TRUE
"s0096","1a","3/3",196,TRUE
"s0097","1b","nonce.connective",56,TRUE
"s0098","1a","2/3",56,TRUE
