"animal","vehicle","animalFirst","cluster","response","match","subj","exposures","coherence","word"
"mouse","plane",1,"t2","plane",1,"s0001",126,"nonce.connective","dex"
"goldfish","motorcycle",1,"t2","motorcycle",1,"s0001",126,"nonce.connective","wug"
"bear","train",0,"t2","bear",0,"s0001",126,"nonce.connective","moke"
"sheep","van",0,"t1","sheep",1,"s0001",126,"nonce.connective","thite"
"horse","boat",0,"t1","horse",1,"s0001",126,"nonce.connective","pif"
"rabbit","bicycle",1,"t1","rabbit",1,"s0001",126,"nonce.connective","jeev"
"mouse","boat",0,"t1","boat",0,"s0002",126,"rime","jeev"
"goldfish","bicycle",1,"t2","goldfish",0,"s0002",126,"rime","thite"
"bear","plane",0,"t1","plane",0,"s0002",126,"rime","dex"
"rabbit","train",1,"t2","rabbit",0,"s0002",126,"rime","pif"
"sheep","motorcycle",0,"t1","sheep",1,"s0002",126,"rime","wug"
"horse","van",1,"t2","van",1,"s0002",126,"rime","moke"
"rabbit","motorcycle",0,"t1","rabbit",1,"s0003",196,"0/3","thite"
"mouse","train",1,"t2","mouse",0,"s0003",196,"0/3","wug"
"bear","bicycle",1,"t1","bear",1,"s0003",196,"0/3","moke"
"goldfish","boat",0,"t2","goldfish",0,"s0003",196,"0/3","jeev"
"sheep","plane",1,"t2","sheep",0,"s0003",196,"0/3","dex"
"horse","van",0,"t1","van",0,"s0003",196,"0/3","pif"
"bear","motorcycle",1,"t1","bear",1,"s0004",392,"rime","moke"
"mouse","train",0,"t2","mouse",0,"s0004",392,"rime","pif"
"goldfish","boat",1,"t1","boat",0,"s0004",392,"rime","thite"
"sheep","plane",0,"t2","plane",1,"s0004",392,"rime","jeev"
"horse","van",0,"t1","van",0,"s0004",392,"rime","dex"
"rabbit","bicycle",1,"t2","bicycle",1,"s0004",392,"rime","wug"
"sheep","train",0,"t2","train",1,"s0005",56,"nonce.connective","moke"
"horse","plane",1,"t1","horse",1,"s0005",56,"nonce.connective","jeev"
"bear","van",1,"t1","van",0,"s0005",56,"nonce.connective","dex"
"rabbit","motorcycle",1,"t2","rabbit",0,"s0005",56,"nonce.connective","wug"
"mouse","boat",0,"t2","mouse",0,"s0005",56,"nonce.connective","thite"
"goldfish","bicycle",0,"t1","bicycle",0,"s0005",56,"nonce.connective","pif"
"mouse","train",0,"t1","train",0,"s0006",56,"rime","moke"
"horse","van",1,"t2","horse",0,"s0006",56,"rime","dex"
"bear","plane",0,"t2","plane",1,"s0006",56,"rime","jeev"
"rabbit","bicycle",1,"t1","bicycle",0,"s0006",56,"rime","pif"
"sheep","boat",1,"t2","boat",1,"s0006",56,"rime","thite"
"goldfish","motorcycle",0,"t1","motorcycle",0,"s0006",56,"rime","wug"
"sheep","train",0,"t2","train",1,"s0007",392,"nonce.connective","thite"
"horse","bicycle",1,"t2","bicycle",1,"s0007",392,"nonce.connective","jeev"
"goldfish","plane",1,"t2","plane",1,"s0007",392,"nonce.connective","pif"
"rabbit","boat",1,"t1","boat",0,"s0007",392,"nonce.connective","moke"
"mouse","motorcycle",0,"t1","motorcycle",0,"s0007",392,"nonce.connective","wug"
"bear","van",0,"t1","van",0,"s0007",392,"nonce.connective","dex"
"horse","train",0,"t1","train",0,"s0008",196,"2/3","jiv"
"goldfish","plane",1,"t2","plane",1,"s0008",196,"2/3","dex"
"rabbit","bicycle",1,"t2","rabbit",0,"s0008",196,"2/3","pif"
"bear","van",1,"t2","bear",0,"s0008",196,"2/3","wug"
"sheep","motorcycle",0,"t1","sheep",1,"s0008",196,"2/3","thite"
"mouse","boat",0,"t1","boat",0,"s0008",196,"2/3","moke"
"mouse","motorcycle",1,"t2","motorcycle",1,"s0009",196,"rime","dex"
"sheep","bicycle",0,"t1","bicycle",0,"s0009",196,"rime","wug"
"rabbit","plane",0,"t2","plane",1,"s0009",196,"rime","pif"
"horse","van",0,"t1","van",0,"s0009",196,"rime","thite"
"goldfish","boat",1,"t1","boat",0,"s0009",196,"rime","jeev"
"bear","train",1,"t2","bear",0,"s0009",196,"rime","moke"
"rabbit","plane",0,"t2","rabbit",0,"s0010",196,"0/3","dex"
"mouse","boat",0,"t1","mouse",1,"s0010",196,"0/3","wug"
"sheep","train",0,"t1","train",0,"s0010",196,"0/3","thite"
"horse","bicycle",1,"t1","bicycle",0,"s0010",196,"0/3","moke"
"goldfish","motorcycle",1,"t2","motorcycle",1,"s0010",196,"0/3","jiv"
"bear","van",1,"t2","van",1,"s0010",196,"0/3","pif"
