"type","word1","word2","response","catch.trial.string","subj","exposures","coherence","trial"
"within","moke","dex",2,"","s0001",126,"nonce.connective",1
"within","jeev","pif",3,"","s0001",126,"nonce.connective",2
"cross","thite","moke",4,"","s0001",126,"nonce.connective",3
"cross","pif","wug",1,"","s0001",126,"nonce.connective",4
"catch",NA,NA,3,"How much is five minus two?","s0001",126,"nonce.connective",5
"cross","jeev","dex",1,"","s0001",126,"nonce.connective",6
"within","wug","moke",1,"","s0001",126,"nonce.connective",7
"cross","thite","dex",4,"","s0001",126,"nonce.connective",8
"cross","pif","moke",1,"","s0001",126,"nonce.connective",9
"cross","jeev","wug",2,"","s0001",126,"nonce.connective",10
"cross","pif","dex",3,"","s0001",126,"nonce.connective",11
"catch",NA,NA,1,"How much is one plus zero?","s0001",126,"nonce.connective",12
"cross","thite","wug",1,"","s0001",126,"nonce.connective",13
"cross","jeev","moke",4,"","s0001",126,"nonce.connective",14
"within","pif","thite",3,"","s0001",126,"nonce.connective",15
"within","wug","dex",2,"","s0001",126,"nonce.connective",16
"within","jeev","thite",4,"","s0001",126,"nonce.connective",17
"within","thite","moke",1,"","s0002",126,"rime",1
"within","jeev","wug",2,"","s0002",126,"rime",2
"cross","dex","thite",2,"","s0002",126,"rime",3
"cross","wug","pif",3,"","s0002",126,"rime",4
"catch",NA,NA,3,"How much is five minus two?","s0002",126,"rime",5
"cross","jeev","moke",2,"","s0002",126,"rime",6
"within","pif","thite",3,"","s0002",126,"rime",7
"cross","dex","moke",4,"","s0002",126,"rime",8
"cross","wug","thite",2,"","s0002",126,"rime",9
"cross","jeev","pif",3,"","s0002",126,"rime",10
"cross","wug","moke",2,"","s0002",126,"rime",11
"catch",NA,NA,1,"How much is one plus zero?","s0002",126,"rime",12
"cross","dex","pif",3,"","s0002",126,"rime",13
"cross","jeev","thite",1,"","s0002",126,"rime",14
"within","wug","dex",2,"","s0002",126,"rime",15
"within","pif","moke",3,"","s0002",126,"rime",16
"within","jeev","dex",4,"","s0002",126,"rime",17
"within","jeev","dex",2,"","s0003",196,"0/3",1
"within","moke","thite",4,"","s0003",196,"0/3",2
"cross","pif","jeev",4,"","s0003",196,"0/3",3
"cross","thite","wug",3,"","s0003",196,"0/3",4
"catch",NA,NA,3,"How much is five minus two?","s0003",196,"0/3",5
"cross","moke","dex",4,"","s0003",196,"0/3",6
"within","wug","jeev",5,"","s0003",196,"0/3",7
"cross","pif","dex",2,"","s0003",196,"0/3",8
"cross","thite","jeev",1,"","s0003",196,"0/3",9
"cross","moke","wug",4,"","s0003",196,"0/3",10
"cross","thite","dex",2,"","s0003",196,"0/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0003",196,"0/3",12
"cross","pif","wug",2,"","s0003",196,"0/3",13
